song_id,song_name,song_duration,song_popularity,artist_id,album_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness,album_release_date,album_popularity,Year,artist_genres,artist_popularity
2tGgIA04KdLTRRGY5Ndw5w,Old MacDonald Had a Farm,125332,59,6PZYFmF3PH6cOREAzfXiAL,3l5NKqOZFYoXX357okAjBh,109.999,audio_features,-7.556,1,0.0355,0.238,0.546,0.783,0.485,0.701,0.0,2001-01-01,55,2001,children's music,51
3cJh89D0za2SW705fNBo3b,Where's Your Head At,285533,65,4YrKBkKSVeqDamzBPWVnSJ,6CYhVDuSbAWmy9ku7E2wrP,127.864,audio_features,-4.817,1,0.0298,0.273,0.415,0.61,0.918,6.42e-05,0.0853,2001-06-25,56,2001,"alternative dance, big beat, electronica, filter house, trip hop",51
3Id64dLhfH7z0mmcylxuNp,Fuck Authority,196120,63,6i0KVTOvm96T55mbp742ks,6oEh869vJQY1QdfZlVQ0ly,101.922,audio_features,-2.819,0,0.0504,0.379,0.791,0.45,0.937,0.000887,0.00457,2001-06-19,53,2001,"punk, skate punk, socal pop punk",52
50ssiEHx556vul2XyUbxwU,"Bibbidi-Bobbidi-Boo - From ""Cinderella"" Soundtrack",77933,59,7aU90hxXexP47nEeMee6xM,4xNCqk5KdkOQvdbaepGjTY,105.862,audio_features,-8.57,1,0.0524,0.233,0.887,0.513,0.525,0.949,2.42e-05,2001-01-01,59,2001,movie tunes,39
6XktzSnvdfStmmHIvhjVei,Dame Un Beso Y Dime Adiós,207586,65,1yP1EbAX7oCvKI7j7PxzGg,0O3HWF8wuFCxwci1hC5UhE,138.346,audio_features,-17.0,1,0.0507,0.168,0.585,0.47,0.3,0.582,0.000146,2001-01-01,55,2001,"grupera, mexican rock-and-roll, norteno, ranchera",49
0uKrhHBDUQ4w5fv4qwOubP,Breathe,282240,64,3aKCo8gLJfuPYtr88aWKjF,1H10CTGW4xbk0IQewKbK50,113.988,audio_features,-13.337,1,0.0418,0.106,0.616,0.684,0.684,0.385,0.29,2001-01-01,54,2001,"downtempo, electronica, trip hop",46
5lCRPA4XEg4VPbNu0lDHBA,Wiseman,146400,57,6MxlVTY6PmY8Nyn16fvxtb,2gxWOqfi9PJp6szSHHfZpY,138.513,audio_features,-7.185,1,0.061,0.303,0.538,0.717,0.373,0.735,0.0,2001-03-16,48,2001,"reggae fusion, reggae rock",60
0psXs0SxH2hGnJoj8C2fFf,Collie Man,133080,66,6MxlVTY6PmY8Nyn16fvxtb,4MJf9OmWPH5zlvRAfoIWx6,170.087,audio_features,-7.083,1,0.0476,0.218,0.347,0.609,0.706,0.182,0.000601,2003-03-18,58,2003,"reggae fusion, reggae rock",60
57FmgryMQDg7fxbyR65dcT,Officer,231733,59,6MxlVTY6PmY8Nyn16fvxtb,4MJf9OmWPH5zlvRAfoIWx6,95.02,audio_features,-4.525,1,0.107,0.447,0.64,0.722,0.869,0.561,0.000765,2003-03-18,58,2003,"reggae fusion, reggae rock",60
3oHNAil3RvYNz58fogLJvp,Sweet Honey,230413,52,6MxlVTY6PmY8Nyn16fvxtb,4MJf9OmWPH5zlvRAfoIWx6,100.521,audio_features,-4.268,1,0.0497,0.107,0.607,0.662,0.805,0.135,0.0,2003-03-18,58,2003,"reggae fusion, reggae rock",60
1UL8GkVAs6UcWF6BZ3DYZt,Closer to the Sun,145560,68,6MxlVTY6PmY8Nyn16fvxtb,5FWZm9haAG0NhY6WmdS4oW,75.179,audio_features,-5.534,1,0.0275,0.231,0.535,0.572,0.728,0.203,0.00263,2005-04-19,61,2005,"reggae fusion, reggae rock",60
43OjswTQMkuvQQEP38Roxl,Bandelero,166960,57,6MxlVTY6PmY8Nyn16fvxtb,5FWZm9haAG0NhY6WmdS4oW,168.655,audio_features,-5.033,1,0.0581,0.229,0.966,0.712,0.705,0.131,1.34e-05,2005-04-19,61,2005,"reggae fusion, reggae rock",60
6wxGZ8D8lAuJpocaTAVVyL,This Joint,247720,57,6MxlVTY6PmY8Nyn16fvxtb,5FWZm9haAG0NhY6WmdS4oW,74.995,audio_features,-5.733,0,0.102,0.0764,0.961,0.781,0.726,0.241,0.00204,2005-04-19,61,2005,"reggae fusion, reggae rock",60
3mRWXjgHmDJTrGDaZhGkCM,Babylon Is Falling,145893,55,6MxlVTY6PmY8Nyn16fvxtb,5FWZm9haAG0NhY6WmdS4oW,148.08,audio_features,-4.781,1,0.0469,0.0667,0.974,0.653,0.682,0.13,0.615,2005-04-19,61,2005,"reggae fusion, reggae rock",60
4cs6ORX8aKd6rtVdwAnnel,2am,299600,60,6MxlVTY6PmY8Nyn16fvxtb,2lKYJFAYLywsVOxLMRoAOe,82.46,audio_features,-8.549,1,0.111,0.0708,0.645,0.794,0.577,0.00594,0.37,2007-08-01,51,2007,"reggae fusion, reggae rock",60
0tIpUUbOYIWqvI50Ksf7D5,Donde Estan las Gatas,170004,74,7awyvLSthqOcL5A3hnR1pf,6owe1MO20hyH4dZURGb3Ob,109.933,audio_features,-11.937,0,0.0831,0.0764,0.815,0.827,0.788,0.246,0.0,2001-07-13,63,2001,"reggaeton, reggaeton flow, urbano latino",58
5thts3213xwSroRd11fv5A,People Everyday - Metamorphosis Mix,296333,57,5Va9LuEmaZxnbk1gMnjMD7,4KqorQ6C7yDXvqgfgGrnvm,91.116,audio_features,-10.675,1,0.217,0.563,0.725,0.844,0.609,0.0074,0.0,2001-01-01,46,2001,"atl hip hop, conscious hip hop, hip hop, old school atlanta hip hop",47
5cvMzT7kEvcxcdtcJz1vQY,After Party,214560,59,6HEyD6mSqQQKMVilyU31ZY,5I8dujSQv3pxhJo6n2ifWv,105.481,audio_features,-4.796,0,0.0503,0.0224,0.601,0.802,0.552,0.0492,1.7e-06,2001-03-02,49,2001,"contemporary r&b, new jack swing",38
6SlYsxvOXnB5sNg6ltf7pX,Bouncing Off The Walls,141293,58,04RtvnUz0XrUbUZzOA8ZoW,0jgOnSVNaP3rNb7bZ9b0QT,150.907,audio_features,-5.621,1,0.0556,0.253,0.687,0.469,0.905,0.00315,0.0,2001-08-21,51,2001,"neon pop punk, pop punk, screamo",51
5USZyz6dnBEn1oLsKcAKQy,Hallelujah,248800,59,2PfBzriIMRsCXPDtSy9vg8,4fFn4t0JoZrNB3VY4HZ970,72.609,audio_features,-7.518,0,0.032,0.104,0.45,0.344,0.196,0.881,0.0,2001-01-01,57,2001,"canadian pop, chamber pop, melancholia, piano rock, singer-songwriter",52
4oiAlcisfimXQc1wyAtX9a,Video,249960,61,7Gf3LSwa5hh8Cjo60WhVjC,6ApdnTHD5zXzmZqxf0TA9Z,170.003,audio_features,-8.766,0,0.227,0.0409,0.675,0.652,0.604,0.111,1.01e-05,2001-01-01,55,2001,"neo soul, r&b, urban contemporary",52
4C8bbFSl37YUCoVeyr3Fl3,The Truth,209853,54,7Gf3LSwa5hh8Cjo60WhVjC,5gnsCHk9Y77xaVARBD0vwf,95.83,audio_features,-10.168,0,0.196,0.101,0.291,0.691,0.472,0.284,1.78e-05,2002-09-24,49,2002,"neo soul, r&b, urban contemporary",52
6IFOw9Ck9mWHRQgw6QrPYx,Music (feat. Marvin Gaye),223133,59,2VX0o9LDIVmKIgpnwdJpOJ,7mUzxkBleB7QiVUw6wJsXU,100.01,audio_features,-9.053,0,0.203,0.0757,0.884,0.897,0.466,0.187,1.35e-06,2001-08-27,49,2001,"hardcore hip hop, hip hop",46
7wYhcfgPUyML3FKfLwvBwk,Calling On You,280000,57,3SRJWVa6lZnqRHOyAHmDrX,1uVZharbta7UF0rqb1AU1F,101.113,audio_features,-10.855,0,0.0332,0.0464,0.475,0.681,0.375,0.159,0.0,2001-03-13,49,2001,"contemporary r&b, r&b, urban contemporary",49
0E0bZtTG39K95uRjqBo1Mx,Party Hard,184906,59,4YJR4xviDKHoelt9WKHlBa,6BQMUDC55fjjnApdWtZYZM,162.171,audio_features,-3.413,1,0.0429,0.156,0.751,0.461,0.994,3.08e-05,9.92e-06,2001-01-01,54,2001,modern hard rock,48
74yxx7JQEElkvjkJCwvt2M,Ready To Die,174973,58,4YJR4xviDKHoelt9WKHlBa,6BQMUDC55fjjnApdWtZYZM,187.169,audio_features,-3.2,1,0.0459,0.111,0.824,0.395,0.875,7.16e-05,6.8e-06,2001-01-01,54,2001,modern hard rock,48
77wwKKYeNZnXZ8xChSiSxN,Cumbia sobre el río / Interludio,342973,63,6PmfbeAL7jAauFPNyQ5UPi,0ZCip2zkf5EGx7j4QeRRUD,96.999,audio_features,-6.397,1,0.0515,0.294,0.861,0.711,0.816,0.0237,0.797,2001-03-19,61,2001,"chicha, cumbia colombiana regia, latin alternative, mexican rock, rock en espanol",54
199gJ6b1aihvmEqdQZr0qT,Aunque no sea conmigo (feat. Café Tacvba),213133,68,6PmfbeAL7jAauFPNyQ5UPi,0ZCip2zkf5EGx7j4QeRRUD,88.089,audio_features,-9.062,1,0.0455,0.111,0.31,0.81,0.508,0.44,0.0,2001-03-19,61,2001,"chicha, cumbia colombiana regia, latin alternative, mexican rock, rock en espanol",54
