artist_id,artist_genres,artist_popularity,year
2UZMlIwnkgAEDBsw1Rejkn,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",66,1994
0Jeckitay8SbvKwqAzWuYH,"reggae, reggae fusion",53,1994
0xxJO75NeIAF5jYruLYIDT,"contemporary country, country, country road",53,1994
0X380XXQSNBYuleKzav5UO,"alternative metal, alternative rock, cyberpunk, electronic rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",63,1994
6cjSmkVvMvyE6tCAo1M9Is,"contemporary r&b, r&b",49,1994
08ct2eZF5lUPdJpHwNKWof,"heartland rock, pop rock, post-grunge",57,1994
6liAMWkVf5LH7YR9yfFy1Y,"alternative rock, art pop, dark pop, electronica, laboratorio, trip hop",60,1994
6eoJpTIlcuxJNjV5fDzDJH,"grunge, pop rock, post-grunge",58,1994
14pVkFUHDL207LzLHtSA18,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal",66,1994
08ct2eZF5lUPdJpHwNKWof,"heartland rock, pop rock, post-grunge",57,1994
4mxWe1mtYIYfP040G38yvS,country,68,1994
06TVTkMAOR935MhkjX0i2A,"bachata, bachata dominicana",57,1994
5LfGQac0EIXyAN8aUwmNAQ,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",74,1994
5xUf6j4upBrXZPg6AI4MRK,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock",64,1994
3nnQpaTvKb5jCQabZefACI,"melancholia, permanent wave, singer-songwriter",62,1994
2JY5qzEozvTdogkDTkkOMf,"australian children's music, children's music",64,1994
03r4iKL2g2442PT9n2UKsx,"alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock",66,1994
7vRMMs8yrKf4PKUpUllMkr,"classic soul, disco, freestyle, funk, motown, new jack swing, p funk, post-disco, quiet storm, soul, urban contemporary",42,1994
32BLNtPX18499VCjsUiFj1,"banda, grupera, gruperas inmortales, grupero romantico, musica mexicana, norteno",57,1994
3RNrq3jvMZxD9ZyoOZbQOD,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",73,1994
3nnQpaTvKb5jCQabZefACI,"melancholia, permanent wave, singer-songwriter",62,1994
64tNsm6TnZe2zpcMVMOoHL,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",69,1994
1XkoF8ryArs86LZvFOkbyr,"dance pop, hip pop, neo soul, r&b, urban contemporary",68,1994
267VY6GX5LyU5c9M85ECZQ,"alternative rock, lo-fi, noise pop, noise rock, permanent wave, power pop",48,1994
3NIZFmehJM8YiGpCdihlck,"salsa, salsa puertorriquena, tropical",54,1994
6mLXvSt7Xxy2r9uBba1O6Z,,47,1994
44WCHvwXBOMz6nm7Mu2ReO,"banda, grupera, gruperas inmortales, grupero romantico, musica mexicana, norteno",67,1994
3YbOSxo85kla7RID8ugnW3,"grupera, musica mexicana, ranchera",74,1994
78Cl4OGrWUNLrm4QZKEKkg,"banda, tecnobanda",46,1994
0ECwFtbIWEVNwjlrfc6xoL,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock",73,1994
1GAJzApRTMmYZ9EjQ91VOy,"doo-wop, sunshine pop",45,1994
3YbOSxo85kla7RID8ugnW3,"grupera, musica mexicana, ranchera",74,1994
6AcOTCYBMvjKYy4zms0kaC,"banda, banda sinaloense, musica mexicana, norteno",68,1994
5wTAi7QkpP6kp8a54lmTOq,"classical, german romanticism, late romantic era",64,1994
69Etpls5a2aATUkB6NInTY,"country, country road",44,1994
1XkoF8ryArs86LZvFOkbyr,"dance pop, hip pop, neo soul, r&b, urban contemporary",68,1994
3nnQpaTvKb5jCQabZefACI,"melancholia, permanent wave, singer-songwriter",62,1994
3RNrq3jvMZxD9ZyoOZbQOD,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",73,1994
3inCNiUr4R6XQ3W43s9Aqi,"alternative rock, chamber pop, indie rock, lo-fi, shoegaze",56,1994
20qISvAhX20dpIbOOzGK3q,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",71,1994
2TI7qyDE0QfyOlnbtfDo7L,"jam band, neo mellow, pop rock",61,1994
1XkoF8ryArs86LZvFOkbyr,"dance pop, hip pop, neo soul, r&b, urban contemporary",68,1994
47zz7sob9NUcODy0BTDvKx,"british soul, sophisti-pop",70,1994
05oH07COxkXKIMt6mIPRee,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary",62,1994
