song_id,song_name,song_duration,song_popularity,artist_id,album_id,year
4UkejguW7NyNfcWl2r4fqV,Everyday,283933,52,2TI7qyDE0QfyOlnbtfDo7L,3rSa8BooDEnGNEJevXOwgI,2001
0frKt739Ov9vvKS3JRu5Vi,Perfect Day - Chris Lord Alge Mix,206666,56,7ftZLBtMuNBXnnDFKbAblK,4ahahKSnwRkqMcJrC8uguE,2001
3FYSNSTUCqAZGfwEd8ui4l,We Gonna Make It,213826,53,5pnbUBPifNnlusY8kTBivi,0w0pkKJYucpsDacKMKZ3SR,2001
4SnTf4ixVZCfQtxHNhky0T,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,57,1YfEcTuGvBQ8xSD1f53UnK,6cj1gdwhr2MVJr9YnWghUd,2001
769geiA8btidGHda4BBDOJ,It's Over Now,264933,59,7urq0VfqxEYEEiZUkebXT4,6QlbqTqKJt1UnuH3PLz9mb,2001
1BR1AEQSLXDNL9t7nP3xRp,Roller Coaster,167560,57,6FBDaR13swtiWwGhX1WQsP,3nHpBmW5wJXGeC3ojBkpey,2001
2W1H5fQD5rGHq0SduYaTbM,Mi Pobre Corazón,190053,59,16kOCiqZ1auY4sokSeZuKf,4moS1H6d049CbtVXZwd4rs,2001
0WFPzcug392h7sumNfIUuZ,Contigo Ya Son Dos,152840,56,5IaAggho4F1gWHE5REe1e8,7Fjh3mKEUdwmVQlOj76T5i,2001
1urmwhtXPiakhcqvqUi3rp,Brown Eyes,276093,65,1Y8cdNmUJH7yBTd9yOvr5i,480AZOo2VQ1kf3GedAiKV9,2001
29viePXNqWUw1cxqzOcuOD,I Love Rock 'N' Roll,186533,61,26dSoYclwsYLMAKD3tpOr4,5ax3GTsfX5uCUaNgnJsSG5,2001
1BTpL8k7DytUPa2sNYs53P,Iron Head,251200,55,3HVdAiMNjYrQIKlOGxoGh5,2ExOcLFwyExzkXK0ea180I,2001
4fRmFVMd0c1SGfzazBJIM8,True Believers,150293,56,3mvTAjG7rcyk7DQzLwauzV,64zbLX1ze8N3kcAMX0qq7G,2001
0GCM7zzCulIbsU07Tt8trk,Al Despertar,202613,63,3yJUTkFm88TiJPLhLHKumn,0vPT6w0dqWEo45IJuqqAuo,2001
7Hg6a7tZsVTkXnBUepjZU6,You And Whose Army?,191000,61,4Z8W4fKeB5YxbusRsdQVPb,1HrMmB5useeZ0F5lHrMvl0,2001
5JZ1jTanqLWVuThmZ6XRAc,I Might Be Wrong,293773,59,4Z8W4fKeB5YxbusRsdQVPb,1HrMmB5useeZ0F5lHrMvl0,2001
5M67k54BVUDADZPryaqV1y,Aqueous Transmission,466560,54,3YcBF2ttyueytpXtEzn1Za,1rQZbncicoXyB64DqoH7OY,2001
1WHun58cINB7qnT60KcHtQ,Señora Diana La Ví,165998,56,3nL900KIKlV6HBTI4W0pCx,4BY41EH2jBsZydj7FymfGL,2001
